movie_id,name,year,rating,rating_count,story_line,genres,country,language,budget,gross,director,stars
1486834,The F Word,2013.0,6.8,70288,1782.8,138,52,64,11000000.0,8526288,554,6.167208794049512
87892,A Passage to India,1984.0,7.3,16876,2331.0,65,222,100,16000000.0,27201487,178,6.158985283574405
1911607,Nova Zembla,2011.0,5.8,4172,980.8,169,186,61,8521786.0,10987361,675,6.164973238086631
244173,Le roi danse,2000.0,6.9,2126,2084.0,170,24,147,21000000.0,3203,296,6.179917538750169
1179793,Tatil Kitabi,2008.0,6.3,811,1269.2,158,187,208,384350.0,41783,743,6.156134773583631
409811,Cheong yeon,2005.0,6.9,229,1694.6,220,209,178,7312000.0,3054367,416,6.22706056028736
118125,The Watermelon Woman,1996.0,7.0,1719,1513.8,116,224,64,300000.0,1989,126,6.160289432747913
1231277,S. Darko,2009.0,3.6,13184,679.2,186,224,64,4000000.0,1079949,129,6.159184617241003
5540194,Interlude in Prague,2017.0,6.1,429,1305.6,170,80,112,6717975.0,14699,399,6.15214439544908
2290739,Where the Devil Hides,2014.0,4.9,3641,515.8,216,224,64,7000000.0,1428494,133,6.155925506139172
1024839,De Taali,2008.0,4.0,788,524.6,116,155,165,1085360.0,2818022,222,6.1671590350237855
117723,Spy Hard,1996.0,5.4,35817,663.4,15,224,87,18000000.0,26960191,690,6.173106674541522
427944,Thank You for Smoking,2005.0,7.6,212174,2184.0,110,224,64,6500000.0,39323027,340,6.160755353874824
1841930,Vorrei averti qui,2010.0,2.5,13,661.8,158,165,174,608.0,1469,54,6.14926457742124
3881026,Rendel,2017.0,4.6,1757,526.2,23,99,66,1765227.0,111795,362,6.1657087333406535
420609,Infamous,2006.0,7.0,16226,1789.2,88,224,64,13000000.0,2689799,209,6.160567727750736
1666318,La demora,2012.0,7.2,366,2252.2,158,122,203,1400000.0,11122,705,6.166987281107257
396912,Una de zombis,2003.0,4.5,486,264.6,16,211,203,1463400.0,1399096,571,6.1425687222778995
377744,A Day Without a Mexican,2004.0,4.7,3028,735.6,112,182,132,1500000.0,10057021,740,6.147548715366559
4566320,Soren,2018.0,4.8,23,692.8,188,33,87,677000.0,19366,427,6.157275650630057
3552638,Perez.,2014.0,5.8,665,749.8,147,165,174,1.0,991494,220,6.159102705666615
1126618,Morning Glory,2010.0,6.5,73516,1314.4,116,224,138,40000000.0,60040976,708,6.167801909021644
89469,Legend,1985.0,6.5,59429,1777.2,73,222,110,24500000.0,15502112,691,6.16348485032209
2909116,Le dernier loup,2015.0,6.7,5502,1831.6,62,61,188,38000000.0,125837070,345,6.1819689309991075
373908,The Honeymooners,2005.0,3.3,6989,540.2,122,145,64,25000000.0,13183426,398,6.163721716873682
289229,Hukkle,2002.0,7.1,3507,2233.2,145,149,52,100000.0,132745,294,6.166068215923593
1444324,Perpetuum Mobile,2008.0,5.7,6,1232.4,158,176,184,730438.0,5311,828,6.162742220503896
191133,The Fighting Temptations,2003.0,5.6,6751,1225.8,114,224,64,30000000.0,33972062,413,6.148091276371794
3364242,Acasã la tata,2015.0,6.5,509,1239.4,110,199,197,67232.0,7911,45,6.1521300665401695
110857,Police Academy: Mission to Moscow,1994.0,3.6,31647,446.4,100,224,64,6200000.0,126247,20,6.146141243934439
120917,The Emperor's New Groove,2000.0,7.4,178413,2134.2,49,224,64,100000000.0,169327687,528,6.158805191415922
95853,Permanent Record,1988.0,6.4,1879,1416.2,182,224,64,8000000.0,1893139,526,6.151785792114611
2691498,Hoe duur was de suiker,2013.0,6.8,1521,1765.4,169,139,61,7318203.0,1625240,343,6.157895708747121
1519461,Area 51,2015.0,4.2,13120,524.0,212,224,64,5000000.0,7556,617,6.163551325970023
2194499,About Time,2013.0,7.8,297505,1673.8,112,221,64,12000000.0,87100449,682,6.165820718511585
3697946,Napapiirin sankarit 2,2015.0,6.0,1620,1127.8,99,99,144,1947836.0,4791063,797,6.163887090666234
1231583,Due Date,2010.0,6.5,322289,1523.4,110,224,132,65000000.0,211780824,807,6.166729958201406
3685818,Viikossa aikuiseksi,2015.0,5.4,395,811.6,99,99,144,1826097.0,1140091,377,6.15875698560967
469623,Things We Lost in the Fire,2007.0,7.2,27563,1421.4,158,57,64,16000000.0,8591255,779,6.165376559431107
77288,La cage aux folles,1978.0,7.3,9782,2204.8,99,117,147,1299109.0,20424259,877,6.168286688327804
10682318,Ander Mens,2018.0,5.2,72,852.2,99,207,2,25000000.0,8462,661,6.171127010431473
2196488,Atlantic.,2014.0,6.5,486,1280.6,158,25,13,2191316.0,14484,336,6.17140834195076
6817944,Om det oändliga,2019.0,6.9,3008,1789.2,165,111,204,5548900.0,323090,716,6.159708483186692
56937,Cleopatra,1963.0,7.0,29122,2203.2,94,216,64,44000000.0,57777778,420,6.1621587689146855
898911,Entre caníbales,2007.0,4.3,34,716.2,158,181,203,746966.0,170014,704,6.156173164883582
100168,Mo' Better Blues,1990.0,6.6,11130,1898.0,182,224,64,10000000.0,16153593,756,6.169915552374759
310793,Bowling for Columbine,2002.0,7.9,139351,2299.2,142,49,64,4000000.0,58011975,559,6.163575627220933
79540,Meatballs,1979.0,6.2,19011,1467.0,99,41,64,1249736.0,43046003,319,6.157874302525839
4009460,Saving Christmas,2014.0,1.4,14934,151.6,121,224,64,500000.0,2783970,171,6.167786177876178
7406704,Last Summer,2018.0,5.9,239,1338.8,158,221,64,1115183.0,2205,405,6.169575720046349
96101,Short Circuit 2,1988.0,5.8,23657,1320.6,111,224,64,15000000.0,21630088,459,6.163062967806883
105790,Waterland,1992.0,6.6,2100,1859.6,184,221,64,10000000.0,1100218,762,6.172801698409808
1754920,Yeh Saali Zindagi,2011.0,7.5,4404,2309.6,147,155,165,1356700.0,2011887,777,6.165395048449275
119506,Lawn Dogs,1997.0,7.5,7565,2601.6,158,221,64,8000000.0,106404,382,6.181665428451893
85382,Cujo,1983.0,6.1,39395,1118.0,216,224,64,5000000.0,21156152,488,6.1662720751541436
1104083,Little Ashes,2008.0,6.4,8660,1508.2,96,212,132,3043495.0,767567,634,6.159195070191585
1571402,Vallanzasca - Gli angeli del male,2010.0,6.8,2990,1734.2,88,118,174,8521786.0,4389985,567,6.165979724916387
327717,Feestje,2004.0,4.5,411,855.6,116,186,61,3652194.0,647110,718,6.164892142206935
1361303,Amatieris,2008.0,6.6,89,1776.0,23,174,183,190539.0,85794,337,6.165431373563201
6814214,Skammerens datter II: Slangens gave,2019.0,5.6,477,1273.4,64,73,54,5889959.0,45937,71,6.141026911557961
821475,Kong Pil-du,2006.0,4.9,45,519.6,99,209,181,2500000.0,918673,359,6.1904294240554565
879833,Marias menn,2006.0,5.2,106,1331.6,110,190,190,1725149.0,214163,832,6.106209174584572
1185616,Vals Im Bashir,2008.0,8.0,54816,2112.0,77,10,16,1500000.0,11179372,64,6.177243094259829
120824,The Shipping News,2001.0,6.7,31775,1334.2,158,58,64,38000000.0,24690441,480,6.1618507522234
1280725,Wedding Palace,2013.0,5.8,208,814.0,138,224,118,1000000.0,27183,135,6.165661875914495
2555736,The Second Best Exotic Marigold Hotel,2015.0,6.6,31127,1822.6,110,222,64,10000000.0,85978281,391,6.17518684777174
2302966,I,2015.0,7.4,18798,2124.2,35,155,205,30000000.0,3200113,724,6.166763672486521
163978,The Beach,2000.0,6.7,221478,1843.8,68,222,85,50000000.0,144056873,169,6.17649412511507
278488,How High,2001.0,6.3,53161,1211.0,124,224,64,20000000.0,31283740,361,6.1376019882850885
119707,Mortal Kombat: Annihilation,1997.0,3.7,46413,152.4,7,224,64,30000000.0,51376861,394,6.16597147435629
